occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey,name_to_use,description_text,check_ENA_with_GBIF,manual_verification_needed
,Cicindela concolor,"Cicindela concolor Dejean, 1822",4480469,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cicindela,Cicindela concolor,Cicindela concolor,"Dejean, 1822",4480469,,original,,,
,Cicindela soluta,"Cicindela soluta Dejean, 1822",4480477,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cicindela,Cicindela soluta,Cicindela soluta,"Dejean, 1822",4480477,,original,,,
,Carabus lefebvrei,"Carabus lefebvrei Dejean, 1826",4471008,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,Carabus lefebvrei,Carabus lefebvrei,"Dejean, 1826",4471008,,original,,,
,Acupalpus suturalis,"Acupalpus suturalis Dejean, 1829",7482235,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Acupalpus,Acupalpus suturalis,Acupalpus suturalis,"Dejean, 1829",7482235,,original,,,
,Aporrhais serresianus,"Aporrhais serresiana (Michaud, 1828)",2299205,FUZZY,97,ACCEPTED,SPECIES,Animalia,Mollusca,Gastropoda,Littorinimorpha,Aporrhaidae,Aporrhais,Aporrhais serresiana,Aporrhais serresiana,"(Michaud, 1828) ",2299205,,gbif,,yes,yes
,Carabus graecus,"Carabus graecus Dejean, 1826",4471138,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,Carabus graecus,Carabus graecus,"Dejean, 1826",4471138,,original,,,
,Amara brevis,"Amara brevis Dejean, 1828",4473032,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,Amara brevis,Amara brevis,"Dejean, 1828",4473032,,original,,,
,Duvalius procerus,"Duvalius procerus (Putzeys, 1847)",4477260,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Duvalius,Duvalius procerus,Duvalius procerus,"(Putzeys, 1847) ",4477260,,original,,,
,Cychrus angustatus,"Cychrus angustatus Hoppe & Hornschuch, 1825",8102001,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cychrus,Cychrus angustatus,Cychrus angustatus,"Hoppe & Hornschuch, 1825",8102001,,original,,,
,Cylindera paludosa,"Cylindera paludosa (L.Dufour, 1820)",7940401,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cylindera,Cylindera paludosa,Cylindera paludosa,"(L.Dufour, 1820) ",7940401,,original,,,
,Clivina laevifrons,"Clivina laevifrons Chaudoir, 1842",4479811,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Clivina,Clivina laevifrons,Clivina laevifrons,"Chaudoir, 1842",4479811,,original,,,
,Harpalus cupreus,"Harpalus cupreus Dejean, 1829",8130128,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,Harpalus cupreus,Harpalus cupreus,"Dejean, 1829",8130128,,original,,,
,Harpalus oblitus,"Harpalus oblitus Dejean, 1829",7592730,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,Harpalus oblitus,Harpalus oblitus,"Dejean, 1829",7592730,,original,,,
,Dyschirius apicalis,"Dyschirius apicalis Putzeys, 1846",5756943,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Dyschirius,Dyschirius apicalis,Dyschirius apicalis,"Putzeys, 1846",5756943,,original,,,
,Dyschirius bacillus,"Dyschirius bacillus Schaum, 1857",5756950,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Dyschirius,Dyschirius bacillus,Dyschirius bacillus,"Schaum, 1857",5756950,,original,,,
,Harpalus pygmaeus,"Harpalus pygmaeus Dejean, 1829",7499368,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,Harpalus pygmaeus,Harpalus pygmaeus,"Dejean, 1829",7499368,,original,,,
,Lebia scapularis,"Lebia scapularis (Geoffroy, 1785)",8422313,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Lebia,Lebia scapularis,Lebia scapularis,"(Geoffroy, 1785) ",8422313,,original,,,
,Laemostenus elongatus,"Laemostenus elongatus (Dejean, 1828)",5755281,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Laemostenus,Laemostenus elongatus,Laemostenus elongatus,"(Dejean, 1828) ",5755281,,original,,,
,Leistus barnevillei,"Leistus barnevillei Chaudoir, 1867",4473831,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Leistus,Leistus barnevillei,Leistus barnevillei,"Chaudoir, 1867",4473831,,original,,,
,Leistus gracilis,"Leistus gracilis Fuss, 1860",4473934,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Leistus,Leistus gracilis,Leistus gracilis,"Fuss, 1860",4473934,,original,,,
,Cymindis scapularis,"Cymindis scapularis Schaum, 1857",7684733,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cymindis,Cymindis scapularis,Cymindis scapularis,"Schaum, 1857",7684733,,original,,,
,Laemostenus schreibersi,"Laemostenus schreibersii (Küster, 1846)",5755257,FUZZY,98,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Laemostenus,Laemostenus schreibersii,Laemostenus schreibersii,"(Küster, 1846) ",5755257,,gbif,,yes,yes
,Lebia cyanocephala,"Lebia cyanocephala (Linnaeus, 1758)",6097855,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Lebia,Lebia cyanocephala,Lebia cyanocephala,"(Linnaeus, 1758) ",6097855,,original,,,
,Laemostenus dalmatinus,"Laemostenus dalmatinus (Dejean, 1828)",5755186,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Laemostenus,Laemostenus dalmatinus,Laemostenus dalmatinus,"(Dejean, 1828) ",5755186,,original,,,
,Leistus apfelbecki,"Leistus apfelbecki Ganglbauer, 1891",4473921,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Leistus,Leistus apfelbecki,Leistus apfelbecki,"Ganglbauer, 1891",4473921,,original,,,
,Molops obtusangulus,"Molops obtusangulus Ganglbauer, 1889",5754558,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Molops,Molops obtusangulus,Molops obtusangulus,"Ganglbauer, 1889",5754558,,original,,,
,Lonchosternus hispanicus,"Lonchosternus hispanicus (Dejean, 1826)",4471220,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Lonchosternus,Lonchosternus hispanicus,Lonchosternus hispanicus,"(Dejean, 1826) ",4471220,,original,,,
,Lionychus albonotatus,"Lionychus albonotatus (Dejean, 1825)",6547245,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Lionychus,Lionychus albonotatus,Lionychus albonotatus,"(Dejean, 1825) ",6547245,,original,,,
,Epaphius rivularis,"Epaphius rivularis (Gyllenhal, 1810)",4476062,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Epaphius,Epaphius rivularis,Epaphius rivularis,"(Gyllenhal, 1810) ",4476062,,original,,,
,Harpalus zabroides,"Harpalus zabroides Dejean, 1829",7555040,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,Harpalus zabroides,Harpalus zabroides,"Dejean, 1829",7555040,,original,,,
,Microlestes luctuosus,"Microlestes luctuosus Holdhaus, 1904",7525729,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Microlestes,Microlestes luctuosus,Microlestes luctuosus,"Holdhaus, 1904",7525729,,original,,,
,Nebria fasciatopunctata,"Nebria fasciatopunctata L.Miller, 1850",4473759,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Nebria,Nebria fasciatopunctata,Nebria fasciatopunctata,"L.Miller, 1850",4473759,,original,,,
,Cychrus cordicollis,"Cychrus cordicollis Chaudoir, 1835",7424178,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cychrus,Cychrus cordicollis,Cychrus cordicollis,"Chaudoir, 1835",7424178,,original,,,
,Nebria dejeanii,"Nebria dejeanii Dejean, 1826",4473755,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Nebria,Nebria dejeanii,Nebria dejeanii,"Dejean, 1826",4473755,,original,,,
,Nebria carpathica,"Nebria carpathica E.A.Bielz, 1850",4473658,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Nebria,Nebria carpathica,Nebria carpathica,"E.A.Bielz, 1850",4473658,,original,,,
,Dyschirius impunctipennis,"Dyschirius impunctipennis Dawson, 1854",5716409,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Dyschirius,Dyschirius impunctipennis,Dyschirius impunctipennis,"Dawson, 1854",5716409,,original,,,
,Clivina ypsilon,"Clivina ypsilon Dejean, 1830",4479803,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Clivina,Clivina ypsilon,Clivina ypsilon,"Dejean, 1830",4479803,,original,,,
,Nebria bosnica,"Nebria bosnica Ganglbauer, 1889",4473799,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Nebria,Nebria bosnica,Nebria bosnica,"Ganglbauer, 1889",4473799,,original,,,
,Nebria transsylvanica,"Nebria transsylvanica Germar, 1823",4473732,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Nebria,Nebria transsylvanica,Nebria transsylvanica,"Germar, 1823",4473732,,original,,,
,Olisthopus glabricollis,"Olisthopus glabricollis (Germar, 1817)",4473983,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Olisthopus,Olisthopus glabricollis,Olisthopus glabricollis,"(Germar, 1817) ",4473983,,original,,,
,Nebria schusteri,"Nebria schusteri Ganglbauer, 1889",4473520,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Nebria,Nebria schusteri,Nebria schusteri,"Ganglbauer, 1889",4473520,,original,,,
,Harpalus karamani,"Harpalus karamani Apfelbeck, 1902",7867756,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,Harpalus karamani,Harpalus karamani,"Apfelbeck, 1902",7867756,,original,,,
,Dyschirius laeviusculus,"Dyschirius laeviusculus Putzeys, 1846",5756942,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Dyschirius,Dyschirius laeviusculus,Dyschirius laeviusculus,"Putzeys, 1846",5756942,,original,,,
,Nebria reichii,"Nebria reichii Dejean, 1826",4473769,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Nebria,Nebria reichii,Nebria reichii,"Dejean, 1826",4473769,,original,,,
,Platyderus neapolitanus,"Platyderus neapolitanus (Reiche, 1855)",7558935,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Platyderus,Platyderus neapolitanus,Platyderus neapolitanus,"(Reiche, 1855) ",7558935,,original,,,
,Nebria speiseri,"Nebria speiseri Ganglbauer, 1891",4473688,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Nebria,Nebria speiseri,Nebria speiseri,"Ganglbauer, 1891",4473688,,original,,,
,Platynus complanatus,"Platynus complanatus Dejean, 1828",5754998,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Platynus,Platynus complanatus,Platynus complanatus,"Dejean, 1828",5754998,,original,,,
,Platynus glacialis,"Platynus glacialis (Reitter, 1877)",5754982,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Platynus,Platynus glacialis,Platynus glacialis,"(Reitter, 1877) ",5754982,,original,,,
,Poecilus cursorius,"Poecilus cursorius (Dejean, 1828)",7568756,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Poecilus,Poecilus cursorius,Poecilus cursorius,"(Dejean, 1828) ",7568756,,original,,,
,Nebria kratteri,"Nebria kratteri Dejean, 1831",4473667,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Nebria,Nebria kratteri,Nebria kratteri,"Dejean, 1831",4473667,,original,,,
,Nebria atrata,"Nebria atrata Dejean, 1826",4473528,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Nebria,Nebria atrata,Nebria atrata,"Dejean, 1826",4473528,,original,,,
,Pedius inquinatus,"Pedius inquinatus (Sturm, 1824)",4471261,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pedius,Pedius inquinatus,Pedius inquinatus,"(Sturm, 1824) ",4471261,,original,,,
,Pogonus peisonis,"Pogonus peisonis Ganglbauer, 1891",5756386,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pogonus,Pogonus peisonis,Pogonus peisonis,"Ganglbauer, 1891",5756386,,original,,,
,Percus paykullii,"Percus paykullii (P.Rossi, 1792)",5754703,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Percus,Percus paykullii,Percus paykullii,"(P.Rossi, 1792) ",5754703,,original,,,
,Nebria posthuma,"Nebria posthuma K. & J.Daniel, 1891",4473754,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Nebria,Nebria posthuma,Nebria posthuma,"K. & J.Daniel, 1891",4473754,,original,,,
,Platynus teriolensis,"Platynus teriolensis K. & J.Daniel, 1898",5754995,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Platynus,Platynus teriolensis,Platynus teriolensis,"K. & J.Daniel, 1898",5754995,,original,,,
,Pterostichus amblypterus,"Pterostichus amblypterus (Chaudoir, 1868)",8320070,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus amblypterus,Pterostichus amblypterus,"(Chaudoir, 1868) ",8320070,,original,,,
,Percus corrugatus,"Percus corrugatus (Billberg, 1815)",5754718,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Percus,Percus corrugatus,Percus corrugatus,"(Billberg, 1815) ",5754718,,original,,,
,Pterostichus externepunctatus,"Pterostichus externepunctatus (Dejean, 1828)",8342733,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus externepunctatus,Pterostichus externepunctatus,"(Dejean, 1828) ",8342733,,original,,,
,Pterostichus ebenus,"Pterostichus ebenus (Quensel, 1806)",7503206,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus ebenus,Pterostichus ebenus,"(Quensel, 1806) ",7503206,,original,,,
,Neotrechus dalmatinus,"Neotrechus dalmatinus (L.Miller, 1861)",4477887,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Neotrechus,Neotrechus dalmatinus,Neotrechus dalmatinus,"(L.Miller, 1861) ",4477887,,original,,,
,Pterostichus cribratus,"Pterostichus cribratus (Dejean, 1828)",8150992,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus cribratus,Pterostichus cribratus,"(Dejean, 1828) ",8150992,,original,,,
,Poecilus gisellae,"Poecilus gisellae (Csiki, 1930)",7451961,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Poecilus,Poecilus gisellae,Poecilus gisellae,"(Csiki, 1930) ",7451961,,original,,,
,Percus dejeanii,"Percus dejeanii (Dejean, 1831)",5754722,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Percus,Percus dejeanii,Percus dejeanii,"(Dejean, 1831) ",5754722,,original,,,
,Onchnesoma steenstrupi,"Onchnesoma steenstrupii Koren & Danielssen, 1875",2509415,FUZZY,98,ACCEPTED,SPECIES,Animalia,Sipuncula,Sipunculidea,Golfingiiformes,Phascoliidae,Onchnesoma,Onchnesoma steenstrupii,Onchnesoma steenstrupii,"Koren & Danielssen, 1875",2509415,,gbif,,yes,yes
,Apomatus globifera,"Apomatus globifer Théel, 1878",2327370,FUZZY,98,ACCEPTED,SPECIES,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Apomatus,Apomatus globifer,Apomatus globifer,"Théel, 1878",2327370,,gbif,,yes,yes
,Stenidius vittatus,"Stenidius vittatus (Lucas, 1843)",4458222,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Stenidius,Stenidius vittatus,Stenidius vittatus,"(Lucas, 1843) ",4458222,,original,,,
,Notoxus mauritanicus,"Notoxus mauritanicus La Ferte-Senectere, 1847",4457614,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Notoxus,Notoxus mauritanicus,Notoxus mauritanicus,"La Ferte-Senectere, 1847",4457614,,original,,,
,Stenidius tenuipes,"Stenidius tenuipes (La Ferte-Senectere, 1849)",4458225,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Stenidius,Stenidius tenuipes,Stenidius tenuipes,"(La Ferte-Senectere, 1849) ",4458225,,original,,,
,Stricticollis longicollis,"Stricticollis longicollis (W.L.E.Schmidt, 1842)",6997656,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Stricticollis,Stricticollis longicollis,Stricticollis longicollis,"(W.L.E.Schmidt, 1842) ",6997656,,original,,,
,Pseudonotoxus testaceus,"Pseudonotoxus testaceus (La Ferte-Senectere, 1849)",4457584,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Pseudonotoxus,Pseudonotoxus testaceus,Pseudonotoxus testaceus,"(La Ferte-Senectere, 1849) ",4457584,,original,,,
,Stricticollis transversalis,"Stricticollis transversalis (A.Villa & J.B.Villa, 1833)",6997652,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Stricticollis,Stricticollis transversalis,Stricticollis transversalis,"(A.Villa & J.B.Villa, 1833) ",6997652,,original,,,
,Cyclodinus salinus,"Cyclodinus salinus (Crotch, 1867)",4458093,EXACT,100,SYNONYM,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Anthicus,Anthicus salinus,Cyclodinus salinus,"(Crotch, 1867) ",4458093,4458094,gbif,,yes,yes
,Stricticollis rufithorax,"Stricticollis Marseul, 1879",4720609,HIGHERRANK,96,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Stricticollis,,Stricticollis,"Marseul, 1879",4720609,,original,,,yes
,Steropes popei,"Steropes popei Abdullah, 1966",6947395,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Steropes,Steropes popei,Steropes popei,"Abdullah, 1966",6947395,,original,,,
,Pseudotomoderus compressicollis,"Pseudotomoderus compressicollis (Motschulsky, 1839)",4458256,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Pseudotomoderus,Pseudotomoderus compressicollis,Pseudotomoderus compressicollis,"(Motschulsky, 1839) ",4458256,,original,,,
,Anthelephila canaliculata,"Anthelephila canaliculata (La Ferte-Senectere, 1849)",4458243,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Anthelephila,Anthelephila canaliculata,Anthelephila canaliculata,"(La Ferte-Senectere, 1849) ",4458243,,original,,,
,Cyclodinus dimidiatus,"Cyclodinus dimidiatus (Wollaston, 1864)",4458174,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Cyclodinus,Cyclodinus dimidiatus,Cyclodinus dimidiatus,"(Wollaston, 1864) ",4458174,,original,,,
,Anthicus lapidosus,"Anthicus lapidosus Wollaston, 1864",4458040,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Anthicus,Anthicus lapidosus,Anthicus lapidosus,"Wollaston, 1864",4458040,,original,,,
,Stenidius contractipennis,"Stenidius contractipennis (Pic, 1911)",4458220,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Stenidius,Stenidius contractipennis,Stenidius contractipennis,"(Pic, 1911) ",4458220,,original,,,
,Oulimnius major,"Oulimnius major Rey, 1889",4427677,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Elmidae,Oulimnius,Oulimnius major,Oulimnius major,"Rey, 1889",4427677,,original,,,
,Anacaena haemorrhoa,"Anacaena haemorrhoa (Wollaston, 1864)",4434034,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Anacaena,Anacaena haemorrhoa,Anacaena haemorrhoa,"(Wollaston, 1864) ",4434034,,original,,,
,Anacaena lohsei,"Anacaena lohsei Berge Henegouwen & Hebauer, 1989",4434028,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Anacaena,Anacaena lohsei,Anacaena lohsei,"Berge Henegouwen & Hebauer, 1989",4434028,,original,,,
,Anacaena rufipes,"Anacaena rufipes (Guillebeau, 1896)",4434029,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Anacaena,Anacaena rufipes,Anacaena rufipes,"(Guillebeau, 1896) ",4434029,,original,,,
,Berosus bispina,"Berosus bispina Reiche & Saulcy, 1856",4433871,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Berosus,Berosus bispina,Berosus bispina,"Reiche & Saulcy, 1856",4433871,,original,,,
,Berosus fulvus,"Berosus fulvus Kuwert, 1888",4433870,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Berosus,Berosus fulvus,Berosus fulvus,"Kuwert, 1888",4433870,,original,,,
,Berosus byzantinus,"Berosus byzantinus Ganglbauer, 1904",4433883,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Berosus,Berosus byzantinus,Berosus byzantinus,"Ganglbauer, 1904",4433883,,original,,,
,Cercyon inquinatus,"Cercyon inquinatus Wollaston, 1854",4434267,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,Cercyon inquinatus,Cercyon inquinatus,"Wollaston, 1854",4434267,,original,,,
,Berosus guttalis,"Berosus guttalis Rey, 1883",4433863,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Berosus,Berosus guttalis,Berosus guttalis,"Rey, 1883",4433863,,original,,,
,Cercyon arenarius,"Cercyon arenarius Rey, 1885",4434283,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,Cercyon arenarius,Cercyon arenarius,"Rey, 1885",4434283,,original,,,
,Cercyon subsulcatus,"Cercyon subsulcatus Rey, 1885",4434217,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,Cercyon subsulcatus,Cercyon subsulcatus,"Rey, 1885",4434217,,original,,,
,Cercyon putricola,"Cercyon putricola Wollaston, 1867",4434210,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,Cercyon putricola,Cercyon putricola,"Wollaston, 1867",4434210,,original,,,
,Cryptopleurum crenatum,"Cryptopleurum crenatum (Kugelann, 1794)",1034243,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cryptopleurum,Cryptopleurum crenatum,Cryptopleurum crenatum,"(Kugelann, 1794) ",1034243,,original,,,
,Georissus substriatus,"Georissus substriatus Heer, 1841",4434462,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Georissidae,Georissus,Georissus substriatus,Georissus substriatus,"Heer, 1841",4434462,,original,,,
,Helophorus barbarae,"Helophorus barbarae Angus, 1985",9106651,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Helophoridae,Helophorus,Helophorus barbarae,Helophorus barbarae,"Angus, 1985",9106651,,original,,,
,Helophorus brevitarsis,"Helophorus brevitarsis Kuwert, 1890",8795702,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Helophoridae,Helophorus,Helophorus brevitarsis,Helophorus brevitarsis,"Kuwert, 1890",8795702,,original,,,
,Helophorus asturiensis,"Helophorus asturiensis Kuwert, 1885",8362895,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Helophoridae,Helophorus,Helophorus asturiensis,Helophorus asturiensis,"Kuwert, 1885",8362895,,original,,,
,Helophorus fauveli,"Helophorus fauveli Ganglbauer, 1901",9035574,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Helophoridae,Helophorus,Helophorus fauveli,Helophorus fauveli,"Ganglbauer, 1901",9035574,,original,,,
,Helophorus confrater,"Helophorus confrater Kuwert, 1886",8797507,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Helophoridae,Helophorus,Helophorus confrater,Helophorus confrater,"Kuwert, 1886",8797507,,original,,,
,Helophorus gratus,"Helophorus gratus Angus, 1987",8911011,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Helophoridae,Helophorus,Helophorus gratus,Helophorus gratus,"Angus, 1987",8911011,,original,,,
