occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey,name_to_use,description_text,check_ENA_with_GBIF,manual_verification_needed
,Callima kos,"Callima Clemens, 1860",8697176,HIGHERRANK,95,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Callima,,Callima,"Clemens, 1860",8697176,,original,,,yes
,Callima klimeschi,"Callima Clemens, 1860",8697176,HIGHERRANK,95,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Callima,,Callima,"Clemens, 1860",8697176,,original,,,yes
,Callima levantina,"Callima Clemens, 1860",8697176,HIGHERRANK,95,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Callima,,Callima,"Clemens, 1860",8697176,,original,,,yes
,Callima icterinella,"Callima Clemens, 1860",8697176,HIGHERRANK,95,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Callima,,Callima,"Clemens, 1860",8697176,,original,,,yes
,Ypsolopha vitellus,"Ypsolopha vittella (Linnaeus, 1758)",4525547,FUZZY,98,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Ypsolophidae,Ypsolopha,Ypsolopha vittella,Ypsolopha vittella,"(Linnaeus, 1758) ",4525547,,gbif,,yes,yes
,Pterostichus impressicollis,"Pterostichus impressicollis (Fairmaire & Laboulbène, 1854)",8134484,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus impressicollis,Pterostichus impressicollis,"(Fairmaire & Laboulbène, 1854) ",8134484,,original,,,
,Pterostichus phaeopus,"Pterostichus phaeopus (Sainte-Claire Deville, 1903)",8131814,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus phaeopus,Pterostichus phaeopus,"(Sainte-Claire Deville, 1903) ",8131814,,original,,,
,Pterostichus pilosus,"Pterostichus pilosus (Host, 1790)",8099073,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus pilosus,Pterostichus pilosus,"(Host, 1790) ",8099073,,original,,,
,Pterostichus schaschli,"Pterostichus schaschli (Marseul, 1880)",7639015,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus schaschli,Pterostichus schaschli,"(Marseul, 1880) ",7639015,,original,,,
,Syntomus fuscomaculatus,"Syntomus fuscomaculatus (Motschulsky, 1844)",4479876,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Syntomus,Syntomus fuscomaculatus,Syntomus fuscomaculatus,"(Motschulsky, 1844) ",4479876,,original,,,
,Pterostichus tenuimarginatus,"Pterostichus tenuimarginatus (Chaudoir, 1868)",7430831,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus tenuimarginatus,Pterostichus tenuimarginatus,"(Chaudoir, 1868) ",7430831,,original,,,
,Reicheiodes alpicola,"Reicheiodes alpicola (Ganglbauer, 1891)",4479476,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Reicheiodes,Reicheiodes alpicola,Reicheiodes alpicola,"(Ganglbauer, 1891) ",4479476,,original,,,
,Siagona dejeani,"Siagona dejeani Rambur, 1837",8293730,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Siagona,Siagona dejeani,Siagona dejeani,"Rambur, 1837",8293730,,original,,,
,Stenochoromus montenegrinus,"Stenochoromus montenegrinus (L.Miller, 1866)",4472675,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Stenochoromus,Stenochoromus montenegrinus,Stenochoromus montenegrinus,"(L.Miller, 1866) ",4472675,,original,,,
,Pterostichus reiseri,"Pterostichus reiseri Ganglbauer, 1889",7816165,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus reiseri,Pterostichus reiseri,"Ganglbauer, 1889",7816165,,original,,,
,Pterostichus justusii,"Pterostichus justusii W.Redtenbacher, 1842",8315473,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus justusii,Pterostichus justusii,"W.Redtenbacher, 1842",8315473,,original,,,
,Reicheidius frondicola,"Reicheidius frondicola (Reitter, 1881)",4479768,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Reicheidius,Reicheidius frondicola,Reicheidius frondicola,"(Reitter, 1881) ",4479768,,original,,,
,Pterostichus grajus,"Pterostichus grajus (Dejean, 1828)",8300634,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus grajus,Pterostichus grajus,"(Dejean, 1828) ",8300634,,original,,,
,Speluncarius anophthalmus,"Speluncarius anophthalmus (Reitter, 1886)",4472263,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Speluncarius,Speluncarius anophthalmus,Speluncarius anophthalmus,"(Reitter, 1886) ",4472263,,original,,,
,Epaphius ovatus,"Epaphius Leach, 1819",4404738,HIGHERRANK,95,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Epaphius,,Epaphius,"Leach, 1819",4404738,,original,,,yes
,Pterostichus hungaricus,"Pterostichus hungaricus (Dejean, 1828)",7547120,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus hungaricus,Pterostichus hungaricus,"(Dejean, 1828) ",7547120,,original,,,
,Pterostichus foveolatus,"Pterostichus foveolatus (Duftschmid, 1812)",7389696,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus foveolatus,Pterostichus foveolatus,"(Duftschmid, 1812) ",7389696,,original,,,
,Pterostichus impressus,"Pterostichus impressus (Fairmaire & Laboulbène, 1854)",7790241,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus impressus,Pterostichus impressus,"(Fairmaire & Laboulbène, 1854) ",7790241,,original,,,
