verbatimScientificName	description
Dyschirius impunctipennis	https://www.gbif.org/species/5716409
Clivina ypsilon	https://www.gbif.org/species/4479803
Nebria bosnica	https://www.gbif.org/species/4473799
Nebria transsylvanica	https://www.gbif.org/species/4473732
Olisthopus glabricollis	https://www.gbif.org/species/4473983
Nebria schusteri	https://www.gbif.org/species/4473520
Harpalus karamani	https://www.gbif.org/species/7867756
Dyschirius laeviusculus	https://www.gbif.org/species/5756942
Nebria reichii	https://www.gbif.org/species/4473769
Platyderus neapolitanus	https://www.gbif.org/species/7558935
Nebria speiseri	https://www.gbif.org/species/4473688
Platynus complanatus	https://www.gbif.org/species/5754998
Platynus glacialis	https://www.gbif.org/species/5754982
Poecilus cursorius	https://www.gbif.org/species/7568756
Nebria kratteri	https://www.gbif.org/species/4473667
Nebria atrata	https://www.gbif.org/species/4473528
Pedius inquinatus	https://www.gbif.org/species/4471261
Pogonus peisonis	https://www.gbif.org/species/5756386
Percus paykullii	https://www.gbif.org/species/5754703
Nebria posthuma	https://www.gbif.org/species/4473754
Platynus teriolensis	https://www.gbif.org/species/5754995
Pterostichus amblypterus	https://www.gbif.org/species/8320070
Percus corrugatus	https://www.gbif.org/species/5754718
Pterostichus externepunctatus	https://www.gbif.org/species/8342733
Pterostichus ebenus	https://www.gbif.org/species/7503206
Neotrechus dalmatinus	https://www.gbif.org/species/4477887
Pterostichus cribratus	https://www.gbif.org/species/8150992
Poecilus gisellae	https://www.gbif.org/species/7451961
Percus dejeanii	https://www.gbif.org/species/5754722
Stenidius vittatus	https://www.gbif.org/species/4458222
Notoxus mauritanicus	https://www.gbif.org/species/4457614
Stenidius tenuipes	https://www.gbif.org/species/4458225
Stricticollis longicollis	https://www.gbif.org/species/6997656
Pseudonotoxus testaceus	https://www.gbif.org/species/4457584
Stricticollis transversalis	https://www.gbif.org/species/6997652
Stricticollis rufithorax	https://www.gbif.org/species/4720609
Steropes popei	https://www.gbif.org/species/6947395
Pseudotomoderus compressicollis	https://www.gbif.org/species/4458256
Anthelephila canaliculata	https://www.gbif.org/species/4458243
Cyclodinus dimidiatus	https://www.gbif.org/species/4458174
Anthicus lapidosus	https://www.gbif.org/species/4458040
Stenidius contractipennis	https://www.gbif.org/species/4458220
Oulimnius major	https://www.gbif.org/species/4427677
Anacaena haemorrhoa	https://www.gbif.org/species/4434034
Anacaena lohsei	https://www.gbif.org/species/4434028
Anacaena rufipes	https://www.gbif.org/species/4434029
Berosus bispina	https://www.gbif.org/species/4433871
Berosus fulvus	https://www.gbif.org/species/4433870
Berosus byzantinus	https://www.gbif.org/species/4433883
Cercyon inquinatus	https://www.gbif.org/species/4434267
Berosus guttalis	https://www.gbif.org/species/4433863
Cercyon arenarius	https://www.gbif.org/species/4434283
Cercyon subsulcatus	https://www.gbif.org/species/4434217
Cercyon putricola	https://www.gbif.org/species/4434210
Cryptopleurum crenatum	https://www.gbif.org/species/1034243
Georissus substriatus	https://www.gbif.org/species/4434462
Helophorus barbarae	https://www.gbif.org/species/9106651
Helophorus brevitarsis	https://www.gbif.org/species/8795702
Helophorus asturiensis	https://www.gbif.org/species/8362895
Helophorus fauveli	https://www.gbif.org/species/9035574
Helophorus confrater	https://www.gbif.org/species/8797507
Helophorus gratus	https://www.gbif.org/species/8911011
Helophorus korotyaevi	https://www.gbif.org/species/8744270
Helophorus leontis	https://www.gbif.org/species/8829182
Helophorus hirsutiventris	https://www.gbif.org/species/8889472
Helophorus hispanicus	https://www.gbif.org/species/8915953
Helophorus liguricus	https://www.gbif.org/species/8229494
Helophorus schmidti	https://www.gbif.org/species/7908545
Helophorus obscurellus	https://www.gbif.org/species/7618312
Helophorus maritimus	https://www.gbif.org/species/8258689
Steropes latifrons	https://www.gbif.org/species/6947396
Helophorus milleri	https://www.gbif.org/species/8182050
Helophorus hammondi	https://www.gbif.org/species/8834117
Helophorus illustris	https://www.gbif.org/species/8384058
Helophorus jocoteroi	https://www.gbif.org/species/9214920
Helophorus kervillei	https://www.gbif.org/species/9070091
Helophorus kirgisicus	https://www.gbif.org/species/10080053
Helophorus occidentalis	https://www.gbif.org/species/9223931
Helophorus paraminutus	https://www.gbif.org/species/8989407
Helophorus puncticollis	https://www.gbif.org/species/8177620
Helophorus rinki	https://www.gbif.org/species/9154171
Helophorus seidlitzii	https://www.gbif.org/species/8816385
Helophorus similis	https://www.gbif.org/species/9204023
Helophorus villosus	https://www.gbif.org/species/8873064
Hemisphaera miltiadis	https://www.gbif.org/species/9142159
Laccobius atrocephalus	https://www.gbif.org/species/4404589
Laccobius hispanicus	https://www.gbif.org/species/4404594
Laccobius neapolitanus	https://www.gbif.org/species/4404576
Laccobius sculptus	https://www.gbif.org/species/4404595
Laccobius scutellaris	https://www.gbif.org/species/4404563
Laccobius femoralis	https://www.gbif.org/species/4434062
Laccobius revelieri	https://www.gbif.org/species/4434059
Laccobius moraguesi	https://www.gbif.org/species/4404561
Laccobius simulatrix	https://www.gbif.org/species/4404585
Laccobius syriacus	https://www.gbif.org/species/4404570
Paracymus phalacroides	https://www.gbif.org/species/4434169
Pelosoma lafertei	https://www.gbif.org/species/4434330
Sphaeridium substriatum	https://www.gbif.org/species/7556454
Ancistronycha occipitalis	https://www.gbif.org/species/4429872
Armidia nobilissima	https://www.gbif.org/species/4430222
Armidia signata	https://www.gbif.org/species/4430214
Boveycantharis dimidiatipes	https://www.gbif.org/species/4429846
Boveycantharis unguiculata	https://www.gbif.org/species/4429850
Cantharis annularis	https://www.gbif.org/species/7819655
Cantharis assimilis	https://www.gbif.org/species/9023436
Cantharis coronata	https://www.gbif.org/species/8832534
Cantharis instabilis	https://www.gbif.org/species/8806933
Cantharis liburnica	https://www.gbif.org/species/7649193
Cantharis monacha	https://www.gbif.org/species/8822723
Cantharis paganettii	https://www.gbif.org/species/8819683
Cantharis fresnedai	https://www.gbif.org/species/1
Cantharis palliata	https://www.gbif.org/species/8733374
Cantharis paulinoi	https://www.gbif.org/species/8944207
Cantharis pyrenaea	https://www.gbif.org/species/8728660
Cantharis reichei	https://www.gbif.org/species/8269838
Cantharis smyrnensis	https://www.gbif.org/species/9031933
Cantharis xanthoporpa	https://www.gbif.org/species/7947952
Cordicantharis longicollis	https://www.gbif.org/species/4429602
Cratosilis distinguenda	https://www.gbif.org/species/4429584
Cratosilis laeta	https://www.gbif.org/species/4429597
Macrocerus kadleci	https://www.gbif.org/species/8980055
Macrocerus sinuatocollis	https://www.gbif.org/species/8793496
Macrocerus tunicatus	https://www.gbif.org/species/7565586
Malthinus axillaris	https://www.gbif.org/species/4430291
Malthinus diffusus	https://www.gbif.org/species/4430232
Malthinus geniculatus	https://www.gbif.org/species/4430360
Malthinus ganesh	https://www.gbif.org/species/4406159
Malthinus mutabilis	https://www.gbif.org/species/4430385
Malthinus rhaphidiceps	https://www.gbif.org/species/4430348
Malthinus scapularis	https://www.gbif.org/species/4430269
Malthinus scriptus	https://www.gbif.org/species/4430390
Malthodes alpicola	https://www.gbif.org/species/4430595
Malthodes argivus	https://www.gbif.org/species/4430520
Malthodes berytensis	https://www.gbif.org/species/4430762
Malthodes bifurcatus	https://www.gbif.org/species/4430726
Malthodes chelifer	https://www.gbif.org/species/4430505
Malthodes corsicus	https://www.gbif.org/species/4430688
Malthodes cruciferarum	https://www.gbif.org/species/4430610
Malthodes cyphonurus	https://www.gbif.org/species/4430587
Malthodes cypricus	https://www.gbif.org/species/4430572
Malthodes forcipifer	https://www.gbif.org/species/9257042
Malthodes genistae	https://www.gbif.org/species/4430556
Malthodes graecus	https://www.gbif.org/species/4430546
Malthodes laciniatus	https://www.gbif.org/species/4430619
Malthodes lautus	https://www.gbif.org/species/4430576
Malthodes ludwigi	https://www.gbif.org/species/4430440
Malthodes mendax	https://www.gbif.org/species/4430704
Malthodes novaki	https://www.gbif.org/species/4430503
Malthodes pusillopygus	https://www.gbif.org/species/4430609
Malthodes trifurcatus	https://www.gbif.org/species/4430740
Malthodes validicornis	https://www.gbif.org/species/4430662
Malthodes insulcatus	https://www.gbif.org/species/4430707
Metacantharis balcanograeca	https://www.gbif.org/species/4429637
Metacantharis picciolii	https://www.gbif.org/species/4429606
Metacantharis turcica	https://www.gbif.org/species/4429633
Occathemus tarsalis	https://www.gbif.org/species/4429638
Podistra birnbacheri	https://www.gbif.org/species/4429879
Podistra rupicola	https://www.gbif.org/species/4429881
Rhagonycha approximana	https://www.gbif.org/species/4429799
Rhagonycha bithinica	https://www.gbif.org/species/4407026
Rhagonycha corcyrea	https://www.gbif.org/species/4429706
Rhagonycha falcifera	https://www.gbif.org/species/4429689
Rhagonycha fulvaliena	https://www.gbif.org/species/4429732
Rhagonycha genistae	https://www.gbif.org/species/4429817
Rhagonycha gilvipennis	https://www.gbif.org/species/4429780
Rhagonycha hesperica	https://www.gbif.org/species/4429675
Notoxus rubetorum	https://www.gbif.org/species/4457609
Helophorus singularis	https://www.gbif.org/species/9021777
Helophorus nevadensis	https://www.gbif.org/species/9078726
Rhagonycha milleri	https://www.gbif.org/species/4429782
Rhagonycha opaca	https://www.gbif.org/species/4429814
Steropes obscurans	https://www.gbif.org/species/6947397
Omonadus phoenicius	https://www.gbif.org/species/4458196
Malthodes recurvus	https://www.gbif.org/species/4430549
Rhagonycha plagiella	https://www.gbif.org/species/4429671
Rhagonycha nigrosuta	https://www.gbif.org/species/4429693
Helophorus wrootae	https://www.gbif.org/species/8777071
Rhagonycha striatofrons	https://www.gbif.org/species/4429827
Hyperaspis guttulata	https://www.gbif.org/species/9029481
Coccinella venusta	https://www.gbif.org/species/6993392
Diomus rubidus	https://www.gbif.org/species/7686442
Coelopterus salinus	https://www.gbif.org/species/4452482
Rhagonycha quadricollis	https://www.gbif.org/species/4429841
