occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,Beris strobli,"Beris strobli Dušek & Rozkošný, 1968",1580636,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Stratiomyidae,Beris,Beris strobli,Beris strobli,"Dušek & Rozkošný, 1968",1580636,
,Microchrysa cyaneiventris,"Microchrysa cyaneiventris (Zetterstedt, 1842)",1578598,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Stratiomyidae,Microchrysa,Microchrysa cyaneiventris,Microchrysa cyaneiventris,"(Zetterstedt, 1842) ",1578598,
,Odontomyia microleon,"Odontomyia microleon (Linnaeus, 1758)",1580869,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Stratiomyidae,Odontomyia,Odontomyia microleon,Odontomyia microleon,"(Linnaeus, 1758) ",1580869,
,Notiphila venusta,"Notiphila venusta Loew, 1856",1617848,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Ephydridae,Notiphila,Notiphila venusta,Notiphila venusta,"Loew, 1856",1617848,
,Limnellia stenhammari,"Limnellia stenhammari (Zetterstedt, 1846)",1619627,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Ephydridae,Limnellia,Limnellia stenhammari,Limnellia stenhammari,"(Zetterstedt, 1846) ",1619627,
,Chetogena obliquata,"Chetogena obliquata (Fallén, 1810)",1468617,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Chetogena,Chetogena obliquata,Chetogena obliquata,"(Fallén, 1810) ",1468617,
,Cyrtophloeba ruricola,"Cyrtophloeba ruricola (Meigen, 1824)",11019448,EXACT,100,SYNONYM,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Cyrtophleba,Cyrtophleba ruricola,Cyrtophloeba ruricola,"(Meigen, 1824) ",11019448,1464008
,Solieria pacifica,"Solieria pacifica (Meigen, 1824)",1466705,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Solieria,Solieria pacifica,Solieria pacifica,"(Meigen, 1824) ",1466705,
,Systenus bipartitus,"Systenus bipartitus (Loew, 1850)",1604398,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Systenus,Systenus bipartitus,Systenus bipartitus,"(Loew, 1850) ",1604398,
,Sympycnus spiculatus,"Sympycnus spiculatus Gerstaecker, 1864",1608900,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Sympycnus,Sympycnus spiculatus,Sympycnus spiculatus,"Gerstaecker, 1864",1608900,
,Systenus pallipes,"Systenus pallipes (Roser, 1840)",1604401,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Systenus,Systenus pallipes,Systenus pallipes,"(Roser, 1840) ",1604401,
,Callima libanotica,"Callima Clemens, 1860",8697176,HIGHERRANK,95,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Callima,,Callima,"Clemens, 1860",8697176,
,Callima kos,"Callima Clemens, 1860",8697176,HIGHERRANK,95,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Callima,,Callima,"Clemens, 1860",8697176,
,Callima klimeschi,"Callima Clemens, 1860",8697176,HIGHERRANK,95,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Callima,,Callima,"Clemens, 1860",8697176,
,Callima levantina,"Callima Clemens, 1860",8697176,HIGHERRANK,95,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Callima,,Callima,"Clemens, 1860",8697176,
,Callima icterinella,"Callima Clemens, 1860",8697176,HIGHERRANK,95,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Callima,,Callima,"Clemens, 1860",8697176,
,Ypsolopha vitellus,"Ypsolopha vittella (Linnaeus, 1758)",4525547,FUZZY,98,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Ypsolophidae,Ypsolopha,Ypsolopha vittella,Ypsolopha vittella,"(Linnaeus, 1758) ",4525547,
,Pterostichus impressicollis,"Pterostichus impressicollis (Fairmaire & Laboulbène, 1854)",8134484,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus impressicollis,Pterostichus impressicollis,"(Fairmaire & Laboulbène, 1854) ",8134484,
